id,source,target,score,accession,platformType,platform,pathway,cells,treatment,dose,effect,hours,sign,targets,level,mean_ligand_score
TGFB1@Condition:HaCat&Duration:2h@E-MTAB-265.MicroArray.log_rsn_normalized,TGFB1,TGFB1,3.212110215527135,E-MTAB-265,MicroArray,log_rsn_normalized,NA,HaCat,TGFB1,NA,activating,2h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:HaCat&Duration:4h@E-MTAB-265.MicroArray.log_rsn_normalized,TGFB1,TGFB1,3.7412336462821174,E-MTAB-265,MicroArray,log_rsn_normalized,NA,HaCat,TGFB1,NA,activating,4h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:HCC827@GSE49644.MicroArray.HG-U133_Plus_2,TGFB1,TGFB1,3.06483651988082,GSE49644,MicroArray,HG-U133_Plus_2,NA,HCC827,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:HEK293 delta-RAF1:ER cells&Duration:1h@GSE97979.RNASeq.SRP104287_GRCh38,TGFB1,TGFB1,1.9283938238907588,GSE97979,RNASeq,SRP104287_GRCh38,NA,HEK293 delta-RAF1:ER cells,TGFB1,NA,activating,1h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:HEK293 delta-RAF1:ER cells&Duration:4h@GSE97979.RNASeq.SRP104287_GRCh38,TGFB1,TGFB1,1.7844282538093512,GSE97979,RNASeq,SRP104287_GRCh38,NA,HEK293 delta-RAF1:ER cells,TGFB1,NA,activating,4h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:hepatic stellate cells&Duration:24h@GSE128940.RNASeq.SRP189607_GRCh38,TGFB1,TGFB1,3.9373995443624037,GSE128940,RNASeq,SRP189607_GRCh38,NA,hepatic stellate cells,TGFB1,NA,activating,24h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:hepatocellular carcinoma cell line@GSE10393.MicroArray.HT_HG-U133A,TGFB1,TGFB1,1.529888411415294,GSE10393,MicroArray,HT_HG-U133A,NA,hepatocellular carcinoma cell line,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:HepG2&Duration:8d@GSE127763.MicroArray.GPL13369,TGFB1,TGFB1,-0.8684695532893885,GSE127763,MicroArray,GPL13369,NA,HepG2,TGFB1,NA,activating,8d,1,TGFB1,1,2.166836369036356
TGFB1@Condition:HFL1 fibroblast@GSE34815.MicroArray.GPL13607,TGFB1,TGFB1,0.7024833251294366,GSE34815,MicroArray,GPL13607,NA,HFL1 fibroblast,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:HK-2 cells&Duration:48h@GSE29660.RNASeq.SRP006912_GRCh38,TGFB1,TGFB1,2.4257170355287982,GSE29660,RNASeq,SRP006912_GRCh38,NA,HK-2 cells,TGFB1,NA,activating,48h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:hMSC&Duration:1d@GSE84500.MicroArray.HG-U133_Plus_2,TGFB1,TGFB1,2.548918226848938,GSE84500,MicroArray,HG-U133_Plus_2,NA,hMSC,TGFB1,NA,activating,1d,1,TGFB1,1,2.166836369036356
TGFB1@Condition:hMSC&Duration:2d@GSE84500.MicroArray.HG-U133_Plus_2,TGFB1,TGFB1,2.2770716206190436,GSE84500,MicroArray,HG-U133_Plus_2,NA,hMSC,TGFB1,NA,activating,2d,1,TGFB1,1,2.166836369036356
TGFB1@Condition:hMSC&Duration:3d@GSE84500.MicroArray.HG-U133_Plus_2,TGFB1,TGFB1,2.020925591781413,GSE84500,MicroArray,HG-U133_Plus_2,NA,hMSC,TGFB1,NA,activating,3d,1,TGFB1,1,2.166836369036356
TGFB1@Condition:hMSC&Duration:7d@GSE84500.MicroArray.HG-U133_Plus_2,TGFB1,TGFB1,1.787182605803952,GSE84500,MicroArray,HG-U133_Plus_2,NA,hMSC,TGFB1,NA,activating,7d,1,TGFB1,1,2.166836369036356
TGFB1@Condition:HPS-19I prostate stroma cells@GSE51622.MicroArray.GPL4133,TGFB1,TGFB1,3.4907769059603235,GSE51622,MicroArray,GPL4133,NA,HPS-19I prostate stroma cells,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:HuCCT1@GSE102109.MicroArray.GPL17077,TGFB1,TGFB1,1.8521243424252887,GSE102109,MicroArray,GPL17077,NA,HuCCT1,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:Huh28@GSE102109.MicroArray.GPL17077,TGFB1,TGFB1,2.720740533521048,GSE102109,MicroArray,GPL17077,NA,Huh28,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:Huh7&Duration:8d@GSE127763.MicroArray.GPL13369,TGFB1,TGFB1,2.4135472361011896,GSE127763,MicroArray,GPL13369,NA,Huh7,TGFB1,NA,activating,8d,1,TGFB1,1,2.166836369036356
TGFB1@Condition:Human foreskin fibroblasts_with PCM@GSE16416.MicroArray.HG-U133_Plus_2,TGFB1,TGFB1,3.7916344926660113,GSE16416,MicroArray,HG-U133_Plus_2,NA,Human foreskin fibroblasts,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:Human foreskin fibroblasts_without PCM@GSE16416.MicroArray.HG-U133_Plus_2,TGFB1,TGFB1,3.5445969273975293,GSE16416,MicroArray,HG-U133_Plus_2,NA,Human foreskin fibroblasts,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:Human Lung Fibroblasts&Duration:8.0h@GSE60880.MicroArray.HG-U133A_2,TGFB1,TGFB1,4.042913827898798,GSE60880,MicroArray,HG-U133A_2,NA,Human Lung Fibroblasts,TGFB1,NA,activating,8.0h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:Human pulmonary artery smooth muscle cells@GSE131998.RNASeq.SRP199934_GRCh38,TGFB1,TGFB1,1.561057816522584,GSE131998,RNASeq,SRP199934_GRCh38,NA,Human pulmonary artery smooth muscle cells,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:HUVEC@GSE56309.MicroArray.GPL10558,TGFB1,TGFB1,2.274732916087716,GSE56309,MicroArray,GPL10558,NA,HUVEC,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:Induced Pluripotent Cell-derived Cardiac Progenitors@GSE98941.RNASeq.SRP107288_GRCh38,TGFB1,TGFB1,-2.360765660703448,GSE98941,RNASeq,SRP107288_GRCh38,NA,Induced Pluripotent Cell-derived Cardiac Progenitors,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:IPF769_ACT@GSE109585.MicroArray.GPL21185,TGFB1,TGFB1,3.1289548716756133,GSE109585,MicroArray,GPL21185,NA,IPF769,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:IPF769@GSE109585.MicroArray.GPL21185,TGFB1,TGFB1,4.818833674401331,GSE109585,MicroArray,GPL21185,NA,IPF769,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:Macrophage&Duration:24h@GSE47538.MicroArray.GPL13497,TGFB1,TGFB1,2.5335118657007354,GSE47538,MicroArray,GPL13497,NA,Macrophage,TGFB1,NA,activating,24h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:MCF10A@GSE124843.RNASeq.SRP178052_GRCh38,TGFB1,TGFB1,3.8621781331350875,GSE124843,RNASeq,SRP178052_GRCh38,NA,MCF10A,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:MCF10A@GSE8240.MicroArray.HT_HG-U133A,TGFB1,TGFB1,2.0433033733837607,GSE8240,MicroArray,HT_HG-U133A,NA,MCF10A,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:Monocyte.THP1&Duration:24h@GSE17909.MicroArray.GPL6883,TGFB1,TGFB1,2.0573341593195207,GSE17909,MicroArray,GPL6883,NA,Monocyte.THP1,TGFB1,NA,activating,24h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:MRC5&Duration:48h@GSE25200.MicroArray.GPL4133,TGFB1,TGFB1,1.356373361681921,GSE25200,MicroArray,GPL4133,NA,MRC5,TGFB1,NA,activating,48h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:NCI-H358@GSE49644.MicroArray.HG-U133_Plus_2,TGFB1,TGFB1,2.228458292498065,GSE49644,MicroArray,HG-U133_Plus_2,NA,NCI-H358,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:Normal lung fibroblast&Duration:24h@GSE47538.MicroArray.GPL13497,TGFB1,TGFB1,3.7938806068723325,GSE47538,MicroArray,GPL13497,NA,Normal lung fibroblast,TGFB1,NA,activating,24h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:organoid culture of tubular adenoma@GSE79461.MicroArray.HT_HG-U133_Plus_PM,TGFB1,TGFB1,2.398165674720435,GSE79461,MicroArray,HT_HG-U133_Plus_PM,NA,organoid culture of tubular adenoma,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:Panc-1@GSE82293.MicroArray.PrimeView,TGFB1,TGFB1,3.05063496428415,GSE82293,MicroArray,PrimeView,NA,Panc-1,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:PANC1@GSE90111.RNASeq.SRP093771_GRCh38,TGFB1,TGFB1,2.2859377733146564,GSE90111,RNASeq,SRP093771_GRCh38,NA,PANC1,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:primary fibroblasts from neonatal foreskin&Duration:24h@GSE27165.MicroArray.GPL6104,TGFB1,TGFB1,-0.05298588452518901,GSE27165,MicroArray,GPL6104,NA,primary fibroblasts from neonatal foreskin,TGFB1,NA,activating,24h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:primary fibroblasts from neonatal foreskin&Duration:48h@GSE27165.MicroArray.GPL6104,TGFB1,TGFB1,-0.649941359773611,GSE27165,MicroArray,GPL6104,NA,primary fibroblasts from neonatal foreskin,TGFB1,NA,activating,48h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:primary human lung fibroblasts_AZD8055 treatment&Duration:24h@GSE102674.RNASeq.SRP115472_GRCh38,TGFB1,TGFB1,2.8930199038762705,GSE102674,RNASeq,SRP115472_GRCh38,NA,primary human lung fibroblasts,TGFB1,NA,activating,24h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:primary human lung fibroblasts_no treatment&Duration:24h@GSE102674.RNASeq.SRP115472_GRCh38,TGFB1,TGFB1,2.1652382404621964,GSE102674,RNASeq,SRP115472_GRCh38,NA,primary human lung fibroblasts,TGFB1,NA,activating,24h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:primary human lung fibroblasts_rapamycin treatment&Duration:24h@GSE102674.RNASeq.SRP115472_GRCh38,TGFB1,TGFB1,2.555409611591297,GSE102674,RNASeq,SRP115472_GRCh38,NA,primary human lung fibroblasts,TGFB1,NA,activating,24h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:primary human skin fibroblasts_with LPA@GSE125519.MicroArray.GPL17077,TGFB1,TGFB1,3.4251512928368513,GSE125519,MicroArray,GPL17077,NA,primary human skin fibroblasts,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:primary human skin fibroblasts_without LPA@GSE125519.MicroArray.GPL17077,TGFB1,TGFB1,3.2871497396397067,GSE125519,MicroArray,GPL17077,NA,primary human skin fibroblasts,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:Prostate Fibroblast@GSE68164.MicroArray.GPL10558,TGFB1,TGFB1,3.2454859495170454,GSE68164,MicroArray,GPL10558,NA,Prostate Fibroblast,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:Smooth Muscle Cell@GSE30004.MicroArray.HuGene-1_0-st-v1,TGFB1,TGFB1,2.6940384323216278,GSE30004,MicroArray,HuGene-1_0-st-v1,NA,Smooth Muscle Cell,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:smooth muscle cells (HASMC)@GSE134555.RNASeq.SRP215472_GRCh38,TGFB1,TGFB1,-1.879496784767631,GSE134555,RNASeq,SRP215472_GRCh38,NA,smooth muscle cells (HASMC),TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
TGFB1@Condition:Squamous cell lung carcinoma cell line&Duration:24h@GSE95536.RNASeq.SRP100878_GRCh38,TGFB1,TGFB1,1.9149661512518632,GSE95536,RNASeq,SRP100878_GRCh38,NA,Squamous cell lung carcinoma cell line,TGFB1,NA,activating,24h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:Squamous cell lung carcinoma cell line&Duration:48h@GSE95536.RNASeq.SRP100878_GRCh38,TGFB1,TGFB1,2.1748909787706516,GSE95536,RNASeq,SRP100878_GRCh38,NA,Squamous cell lung carcinoma cell line,TGFB1,NA,activating,48h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:Squamous cell lung carcinoma cell line&Duration:8h@GSE95536.RNASeq.SRP100878_GRCh38,TGFB1,TGFB1,2.3693939625826896,GSE95536,RNASeq,SRP100878_GRCh38,NA,Squamous cell lung carcinoma cell line,TGFB1,NA,activating,8h,1,TGFB1,1,2.166836369036356
TGFB1@Condition:TF1a AML cell line&Duration:3d@GSE102483.MicroArray.HuGene-2_1-st,TGFB1,TGFB1,3.1234869997231565,GSE102483,MicroArray,HuGene-2_1-st,NA,TF1a AML cell line,TGFB1,NA,activating,3d,1,TGFB1,1,2.166836369036356
TGFB1@Condition:Trabecular Meshwork@GSE7144.MicroArray.GPL96,TGFB1,TGFB1,3.431295418181134,GSE7144,MicroArray,GPL96,NA,Trabecular Meshwork,TGFB1,NA,activating,NA,1,TGFB1,1,2.166836369036356
IL7@Condition:CD19+ B cells@E-MEXP-2878.MicroArray.HG-U133_Plus_2,IL7,IL7,0.8415242960658299,E-MEXP-2878,MicroArray,HG-U133_Plus_2,NA,CD19+ B cells,IL7,NA,activating,NA,1,IL7,3,2.1367274593804355
IL7@Condition:CD4+ T cells&Duration:6h@GSE96888.MicroArray.GPL17077,IL7,IL7,3.4319306226950417,GSE96888,MicroArray,GPL17077,NA,CD4+ T cells,IL7,NA,activating,6h,1,IL7,3,2.1367274593804355
IL6@Condition:BT-483&Duration:4d@GSE54329.MicroArray.HG-U219,IL6,IL6,0.2239241097442177,GSE54329,MicroArray,HG-U219,NA,BT-483,IL6,NA,activating,4d,1,IL6,3,2.0409047308261026
IL6@Condition:BT-483&Duration:5d@GSE54329.MicroArray.HG-U219,IL6,IL6,1.8500687192836338,GSE54329,MicroArray,HG-U219,NA,BT-483,IL6,NA,activating,5d,1,IL6,3,2.0409047308261026
IL6@Condition:BT-483&Duration:6d@GSE54329.MicroArray.HG-U219,IL6,IL6,1.53167795682163,GSE54329,MicroArray,HG-U219,NA,BT-483,IL6,NA,activating,6d,1,IL6,3,2.0409047308261026
IL6@Condition:BT474&Duration:4d@GSE54329.MicroArray.HG-U219,IL6,IL6,1.7452931289272855,GSE54329,MicroArray,HG-U219,NA,BT474,IL6,NA,activating,4d,1,IL6,3,2.0409047308261026
IL6@Condition:BT474&Duration:5d@GSE54329.MicroArray.HG-U219,IL6,IL6,1.2761266498056014,GSE54329,MicroArray,HG-U219,NA,BT474,IL6,NA,activating,5d,1,IL6,3,2.0409047308261026
IL6@Condition:BT474&Duration:6d@GSE54329.MicroArray.HG-U219,IL6,IL6,1.2340076263839215,GSE54329,MicroArray,HG-U219,NA,BT474,IL6,NA,activating,6d,1,IL6,3,2.0409047308261026
IL6@Condition:EFM-19&Duration:4d@GSE54329.MicroArray.HG-U219,IL6,IL6,1.4548395610063096,GSE54329,MicroArray,HG-U219,NA,EFM-19,IL6,NA,activating,4d,1,IL6,3,2.0409047308261026
IL6@Condition:EFM-19&Duration:5d@GSE54329.MicroArray.HG-U219,IL6,IL6,-1.360254878481144,GSE54329,MicroArray,HG-U219,NA,EFM-19,IL6,NA,activating,5d,1,IL6,3,2.0409047308261026
IL6@Condition:EFM-19&Duration:6d@GSE54329.MicroArray.HG-U219,IL6,IL6,2.579763409747403,GSE54329,MicroArray,HG-U219,NA,EFM-19,IL6,NA,activating,6d,1,IL6,3,2.0409047308261026
IL6@Condition:HCC1428&Duration:4d@GSE54329.MicroArray.HG-U219,IL6,IL6,3.0826220116609866,GSE54329,MicroArray,HG-U219,NA,HCC1428,IL6,NA,activating,4d,1,IL6,3,2.0409047308261026
IL6@Condition:HCC1428&Duration:5d@GSE54329.MicroArray.HG-U219,IL6,IL6,1.1850154460246292,GSE54329,MicroArray,HG-U219,NA,HCC1428,IL6,NA,activating,5d,1,IL6,3,2.0409047308261026
IL6@Condition:HCC1428&Duration:6d@GSE54329.MicroArray.HG-U219,IL6,IL6,-0.5484949008351683,GSE54329,MicroArray,HG-U219,NA,HCC1428,IL6,NA,activating,6d,1,IL6,3,2.0409047308261026
IL6@Condition:Hep3B@E-MTAB-4570.MicroArray.HTA-2_0,IL6,IL6,4.122996747152887,E-MTAB-4570,MicroArray,HTA-2_0,NA,Hep3B,IL6,NA,activating,NA,1,IL6,3,2.0409047308261026
IL6@Condition:HepG2@E-MTAB-4570.MicroArray.HTA-2_0,IL6,IL6,2.2767035226665815,E-MTAB-4570,MicroArray,HTA-2_0,NA,HepG2,IL6,NA,activating,NA,1,IL6,3,2.0409047308261026
IL6@Condition:HMEC1@GSE19082.MicroArray.GPL6104,IL6,IL6,3.206817602675939,GSE19082,MicroArray,GPL6104,NA,HMEC1,IL6,NA,activating,NA,1,IL6,3,2.0409047308261026
IL6@Condition:HuH-7@E-MTAB-4570.MicroArray.HTA-2_0,IL6,IL6,4.8991286679365125,E-MTAB-4570,MicroArray,HTA-2_0,NA,HuH-7,IL6,NA,activating,NA,1,IL6,3,2.0409047308261026
IL6@Condition:human epidermal keratinocytes&Duration:24h@GSE53751.MicroArray.HG-U133_Plus_2,IL6,IL6,3.3792160665681474,GSE53751,MicroArray,HG-U133_Plus_2,NA,human epidermal keratinocytes,IL6,NA,activating,24h,1,IL6,3,2.0409047308261026
IL6@Condition:Macrophage@GSE123603.RNASeq.SRP173264_GRCh38,IL6,IL6,3.7994561258406225,GSE123603,RNASeq,SRP173264_GRCh38,NA,Macrophage,IL6,NA,activating,NA,1,IL6,3,2.0409047308261026
IL6@Condition:Macrophage@GSE8515.MicroArray.HG-U133A,IL6,IL6,2.0811390521719457,GSE8515,MicroArray,HG-U133A,NA,Macrophage,IL6,NA,activating,NA,1,IL6,3,2.0409047308261026
IL6@Condition:MCF-7&Duration:4d@GSE54329.MicroArray.HG-U219,IL6,IL6,-2.1387417932558694,GSE54329,MicroArray,HG-U219,NA,MCF-7,IL6,NA,activating,4d,1,IL6,3,2.0409047308261026
IL6@Condition:MCF-7&Duration:5d@GSE54329.MicroArray.HG-U219,IL6,IL6,0.026742461573567935,GSE54329,MicroArray,HG-U219,NA,MCF-7,IL6,NA,activating,5d,1,IL6,3,2.0409047308261026
IL6@Condition:MCF-7&Duration:6d@GSE54329.MicroArray.HG-U219,IL6,IL6,0.8043135640265459,GSE54329,MicroArray,HG-U219,NA,MCF-7,IL6,NA,activating,6d,1,IL6,3,2.0409047308261026
IL6@Condition:MDA-MB-134VI&Duration:4d@GSE54329.MicroArray.HG-U219,IL6,IL6,3.3103057532670306,GSE54329,MicroArray,HG-U219,NA,MDA-MB-134VI,IL6,NA,activating,4d,1,IL6,3,2.0409047308261026
IL6@Condition:MDA-MB-134VI&Duration:5d@GSE54329.MicroArray.HG-U219,IL6,IL6,2.8585385635372966,GSE54329,MicroArray,HG-U219,NA,MDA-MB-134VI,IL6,NA,activating,5d,1,IL6,3,2.0409047308261026
IL6@Condition:MDA-MB-134VI&Duration:6d@GSE54329.MicroArray.HG-U219,IL6,IL6,3.905626435799862,GSE54329,MicroArray,HG-U219,NA,MDA-MB-134VI,IL6,NA,activating,6d,1,IL6,3,2.0409047308261026
IL6@Condition:MDA-MB-175-VIIdsRed&Duration:4d@GSE54329.MicroArray.HG-U219,IL6,IL6,1.6077073073294552,GSE54329,MicroArray,HG-U219,NA,MDA-MB-175-VIIdsRed,IL6,NA,activating,4d,1,IL6,3,2.0409047308261026
IL6@Condition:MDA-MB-175-VIIdsRed&Duration:5d@GSE54329.MicroArray.HG-U219,IL6,IL6,3.114328142338351,GSE54329,MicroArray,HG-U219,NA,MDA-MB-175-VIIdsRed,IL6,NA,activating,5d,1,IL6,3,2.0409047308261026
IL6@Condition:MDA-MB-175-VIIdsRed&Duration:6d@GSE54329.MicroArray.HG-U219,IL6,IL6,2.546051201703812,GSE54329,MicroArray,HG-U219,NA,MDA-MB-175-VIIdsRed,IL6,NA,activating,6d,1,IL6,3,2.0409047308261026
IL6@Condition:MDA-MB-415&Duration:4d@GSE54329.MicroArray.HG-U219,IL6,IL6,1.5539090170814758,GSE54329,MicroArray,HG-U219,NA,MDA-MB-415,IL6,NA,activating,4d,1,IL6,3,2.0409047308261026
IL6@Condition:MDA-MB-415&Duration:5d@GSE54329.MicroArray.HG-U219,IL6,IL6,1.754742694619746,GSE54329,MicroArray,HG-U219,NA,MDA-MB-415,IL6,NA,activating,5d,1,IL6,3,2.0409047308261026
IL6@Condition:MDA-MB-415&Duration:6d@GSE54329.MicroArray.HG-U219,IL6,IL6,2.246992380047314,GSE54329,MicroArray,HG-U219,NA,MDA-MB-415,IL6,NA,activating,6d,1,IL6,3,2.0409047308261026
IL6@Condition:Myeloma.CMA03@GSE39685.MicroArray.HuGene-1_0-st-v1,IL6,IL6,2.3612692337128434,GSE39685,MicroArray,HuGene-1_0-st-v1,NA,Myeloma.CMA03,IL6,NA,activating,NA,1,IL6,3,2.0409047308261026
IL6@Condition:Prostate Fibroblast@GSE68164.MicroArray.GPL10558,IL6,IL6,1.17054100641771,GSE68164,MicroArray,GPL10558,NA,Prostate Fibroblast,IL6,NA,activating,NA,1,IL6,3,2.0409047308261026
IL6@Condition:T47D&Duration:4d@GSE54329.MicroArray.HG-U219,IL6,IL6,3.8137508850418986,GSE54329,MicroArray,HG-U219,NA,T47D,IL6,NA,activating,4d,1,IL6,3,2.0409047308261026
IL6@Condition:T47D&Duration:5d@GSE54329.MicroArray.HG-U219,IL6,IL6,2.613757458735974,GSE54329,MicroArray,HG-U219,NA,T47D,IL6,NA,activating,5d,1,IL6,3,2.0409047308261026
IL6@Condition:T47D&Duration:6d@GSE54329.MicroArray.HG-U219,IL6,IL6,4.462213106287293,GSE54329,MicroArray,HG-U219,NA,T47D,IL6,NA,activating,6d,1,IL6,3,2.0409047308261026
IL6@Condition:ZR-751&Duration:4d@GSE54329.MicroArray.HG-U219,IL6,IL6,0.3214990004427611,GSE54329,MicroArray,HG-U219,NA,ZR-751,IL6,NA,activating,4d,1,IL6,3,2.0409047308261026
IL6@Condition:ZR-751&Duration:5d@GSE54329.MicroArray.HG-U219,IL6,IL6,3.770905968793567,GSE54329,MicroArray,HG-U219,NA,ZR-751,IL6,NA,activating,5d,1,IL6,3,2.0409047308261026
IL6@Condition:ZR-751&Duration:6d@GSE54329.MicroArray.HG-U219,IL6,IL6,1.4707854896154249,GSE54329,MicroArray,HG-U219,NA,ZR-751,IL6,NA,activating,6d,1,IL6,3,2.0409047308261026
NO@Condition:Prostate Cancer PC3@GSE34112.MicroArray.HG-U133_Plus_2,Metab__HMDB0003378_c,Metab__HMDB0003378_c,2.2666869185062044,GSE34112,MicroArray,HG-U133_Plus_2,NA,Prostate Cancer PC3,Metab__HMDB0003378_c,NA,activating,NA,1,NO,1,1.88937693324115
NO@Condition:TNBC MB231@GSE66322.MicroArray.PrimeView,Metab__HMDB0003378_c,Metab__HMDB0003378_c,1.5120669479760958,GSE66322,MicroArray,PrimeView,NA,TNBC MB231,Metab__HMDB0003378_c,NA,activating,NA,1,NO,1,1.88937693324115
BMP7@Condition:CCL171&Duration:24h@GSE66108.MicroArray.GPL9257,BMP7,BMP7,1.5564935377944473,GSE66108,MicroArray,GPL9257,NA,CCL171,BMP7,NA,activating,24h,1,BMP7,2,1.8303543708979464
BMP7@Condition:MDA-MB-231&Duration:24h@GSE66108.MicroArray.GPL9257,BMP7,BMP7,4.0119634674966,GSE66108,MicroArray,GPL9257,NA,MDA-MB-231,BMP7,NA,activating,24h,1,BMP7,2,1.8303543708979464
BMP7@Condition:T47D&Duration:24h@GSE66108.MicroArray.GPL9257,BMP7,BMP7,-0.07739389259720846,GSE66108,MicroArray,GPL9257,NA,T47D,BMP7,NA,activating,24h,1,BMP7,2,1.8303543708979464
IL1@Condition:Macrophage@GSE8515.MicroArray.HG-U133A,IL1A,IL1A,1.7572272707847114,GSE8515,MicroArray,HG-U133A,NA,Macrophage,IL1A,NA,activating,NA,1,IL1,3,1.8269042744036075
IL1A@Condition:Calu-3 2B4&Duration:24h@GSE56678.MicroArray.GPL6480,IL1A,IL1A,1.7260557753941561,GSE56678,MicroArray,GPL6480,NA,Calu-3 2B4,IL1A,NA,activating,24h,1,IL1A,3,1.8269042744036075
IL1A@Condition:Calu-3 2B4&Duration:3h@GSE56678.MicroArray.GPL6480,IL1A,IL1A,1.9390930568493612,GSE56678,MicroArray,GPL6480,NA,Calu-3 2B4,IL1A,NA,activating,3h,1,IL1A,3,1.8269042744036075
IL1A@Condition:Calu-3 2B4&Duration:6h@GSE56678.MicroArray.GPL6480,IL1A,IL1A,2.0988286956438857,GSE56678,MicroArray,GPL6480,NA,Calu-3 2B4,IL1A,NA,activating,6h,1,IL1A,3,1.8269042744036075
IL1A@Condition:HeLa&Duration:0.5h@GSE52465.MicroArray.GPL6480,IL1A,IL1A,1.613316573345923,GSE52465,MicroArray,GPL6480,NA,HeLa,IL1A,NA,activating,0.5h,1,IL1A,3,1.8269042744036075
IL22@Condition:HaCaT@GSE72396.MicroArray.HuGene-2_0-st,IL22,IL22,-2.9095103620421265,GSE72396,MicroArray,HuGene-2_0-st,NA,HaCaT,IL22,NA,activating,NA,1,IL22,3,1.7679605943284529
IL22@Condition:human epidermal keratinocytes&Duration:24h@GSE53751.MicroArray.HG-U133_Plus_2,IL22,IL22,3.6665102904433815,GSE53751,MicroArray,HG-U133_Plus_2,NA,human epidermal keratinocytes,IL22,NA,activating,24h,1,IL22,3,1.7679605943284529
IL22@Condition:NHEK@GSE7216.MicroArray.HG-U133_Plus_2,IL22,IL22,4.546881854584104,GSE7216,MicroArray,HG-U133_Plus_2,NA,NHEK,IL22,NA,activating,NA,1,IL22,3,1.7679605943284529
IL1B@Condition:A549&Duration:6h@GSE120269.RNASeq.SRP162275_GRCh38,IL1B,IL1B,1.777582511419732,GSE120269,RNASeq,SRP162275_GRCh38,NA,A549,IL1B,NA,activating,6h,1,IL1B,3,1.5633490639920802
IL1B@Condition:Decidualized human endometrial stromal cells&Duration:6 h@GSE58220.MicroArray.HuGene-2_0-st,IL1B,IL1B,1.4200068703328579,GSE58220,MicroArray,HuGene-2_0-st,NA,Decidualized human endometrial stromal cells,IL1B,NA,activating,6 h,1,IL1B,3,1.5633490639920802
IL1B@Condition:Endothelial cells@GSE96962.RNASeq.SRP102361_GRCh38,IL1B,IL1B,1.591790197883791,GSE96962,RNASeq,SRP102361_GRCh38,NA,Endothelial cells,IL1B,NA,activating,NA,1,IL1B,3,1.5633490639920802
IL1B@Condition:HAEC&Duration:4h@GSE89970.RNASeq.SRP093727_GRCh38,IL1B,IL1B,2.0311921239167408,GSE89970,RNASeq,SRP093727_GRCh38,NA,HAEC,IL1B,NA,activating,4h,1,IL1B,3,1.5633490639920802
