id,source,score,target,accession,platformType,platform,pathway,cells,treatment,dose,effect,hours,sign,targets,hours_standardized,hours_inferred,inferred_time,inferred_time_systematic,inferred_time_expanded,inferred_time_all_conditions
HGF@Condition:lymphatic endothelial cells@E-MEXP-256.MicroArray.HG-U133_Plus_2,HGF,-1.3107505804566826,HGF,E-MEXP-256,MicroArray,HG-U133_Plus_2,,lymphatic endothelial cells,HGF,,activating,,1.0,HGF,,,,,,
HGF@Condition:prostate adenocarcinoma cell line PC3M&Duration:16h@GSE71404.MicroArray.GPL570,HGF,1.089888945824579,HGF,GSE71404,MicroArray,GPL570,,prostate adenocarcinoma cell line PC3M,HGF,,activating,16h,1.0,HGF,16.0,16.0,16.0,16.0,16.0,16.0
HGF@Condition:prostate adenocarcinoma cell line PC3M&Duration:32h@GSE71404.MicroArray.GPL570,HGF,0.002551297505342,HGF,GSE71404,MicroArray,GPL570,,prostate adenocarcinoma cell line PC3M,HGF,,activating,32h,1.0,HGF,32.0,32.0,32.0,32.0,32.0,32.0
HGF@Condition:prostate adenocarcinoma cell line PC3M&Duration:8h@GSE71404.MicroArray.GPL570,HGF,0.7380475276436815,HGF,GSE71404,MicroArray,GPL570,,prostate adenocarcinoma cell line PC3M,HGF,,activating,8h,1.0,HGF,8.0,8.0,8.0,8.0,8.0,8.0
IFNA@Condition:A549&Duration:24h@GSE5542.MicroArray.GPL96,IFNA1,6.700863386645684,IFNA1,GSE5542,MicroArray,GPL96,,A549,IFNA1,,activating,24h,1.0,IFNA,24.0,24.0,24.0,24.0,24.0,24.0
IFNA@Condition:A549&Duration:6h@GSE5542.MicroArray.GPL96,IFNA1,8.218533925604323,IFNA1,GSE5542,MicroArray,GPL96,,A549,IFNA1,,activating,6h,1.0,IFNA,6.0,6.0,6.0,6.0,6.0,6.0
IFNA@Condition:ascitic fluid@GSE9481.MicroArray.HG-U133_Plus_2,IFNA1,11.949327499314638,IFNA1,GSE9481,MicroArray,HG-U133_Plus_2,,ascitic fluid,IFNA1,,activating,,1.0,IFNA,,,,,,
IFNA@Condition:B-cell@GSE117637.RNASeq.SRP155182_GRCh38,IFNA1,5.74794908861969,IFNA1,GSE117637,RNASeq,SRP155182_GRCh38,,B-cell,IFNA1,,activating,,1.0,IFNA,,,,,,
IFNA@Condition:Calu-3&Duration:12h@GSE70217.MicroArray.GPL13497,IFNA1,,IFNA1,GSE70217,MicroArray,GPL13497,,Calu-3,IFNA1,,activating,12h,1.0,IFNA,12.0,12.0,12.0,12.0,12.0,12.0
IFNA@Condition:Calu-3&Duration:18h@GSE33264.MicroArray.GPL4133,IFNA1,,IFNA1,GSE33264,MicroArray,GPL4133,,Calu-3,IFNA1,,activating,18h,1.0,IFNA,18.0,18.0,18.0,18.0,18.0,18.0
IFNA@Condition:Calu-3&Duration:18h@GSE70217.MicroArray.GPL13497,IFNA1,,IFNA1,GSE70217,MicroArray,GPL13497,,Calu-3,IFNA1,,activating,18h,1.0,IFNA,18.0,18.0,18.0,18.0,18.0,18.0
IFNA@Condition:Calu-3&Duration:3h@GSE33264.MicroArray.GPL4133,IFNA1,,IFNA1,GSE33264,MicroArray,GPL4133,,Calu-3,IFNA1,,activating,3h,1.0,IFNA,3.0,3.0,3.0,3.0,3.0,3.0
IFNA@Condition:Calu-3&Duration:6h@GSE33264.MicroArray.GPL4133,IFNA1,,IFNA1,GSE33264,MicroArray,GPL4133,,Calu-3,IFNA1,,activating,6h,1.0,IFNA,6.0,6.0,6.0,6.0,6.0,6.0
IFNA@Condition:Calu-3&Duration:6h@GSE70217.MicroArray.GPL13497,IFNA1,,IFNA1,GSE70217,MicroArray,GPL13497,,Calu-3,IFNA1,,activating,6h,1.0,IFNA,6.0,6.0,6.0,6.0,6.0,6.0
IFNA@Condition:CD4+ T cell&Duration:48h@GSE20198.MicroArray.HG-U133A,IFNA1,7.241999119909214,IFNA1,GSE20198,MicroArray,HG-U133A,,CD4+ T cell,IFNA1,,activating,48h,1.0,IFNA,48.0,48.0,48.0,48.0,48.0,48.0
IFNA@Condition:ENCODE EBV-immortalized B cell line@GSE72501.RNASeq.SRP062956_GRCh38,IFNA1,,IFNA1,GSE72501,RNASeq,SRP062956_GRCh38,,ENCODE EBV-immortalized B cell line,IFNA1,,activating,,1.0,IFNA,,,,,,
IFNA@Condition:endothelial progenitor cells (EPCs)/myeloid circulating angiogenic cells (CACs)_healthy@GSE26949.MicroArray.GPL11670,IFNA1,7.761024196558987,IFNA1,GSE26949,MicroArray,GPL11670,,endothelial progenitor cells (EPCs)/myeloid circulating angiogenic cells (CACs),IFNA1,,activating,,1.0,IFNA,,,,,,
IFNA@Condition:endothelial progenitor cells (EPCs)/myeloid circulating angiogenic cells (CACs)_lupus@GSE26950.MicroArray.GPL11670,IFNA1,-0.3453256954333991,IFNA1,GSE26950,MicroArray,GPL11670,,endothelial progenitor cells (EPCs)/myeloid circulating angiogenic cells (CACs),IFNA1,,activating,,1.0,IFNA,,,,,,
IFNA@Condition:Endothelial Progenitor@GSE26951.MicroArray.HG-U133_Plus_2,IFNA1,7.05101213179293,IFNA1,GSE26951,MicroArray,HG-U133_Plus_2,,Endothelial Progenitor,IFNA1,,activating,,1.0,IFNA,,,,,,
IFNA@Condition:Endothelial@GSE3920.MicroArray.GPL96,IFNA1,8.84969370798571,IFNA1,GSE3920,MicroArray,GPL96,,Endothelial,IFNA1,,activating,,1.0,IFNA,,,,,,
IFNA@Condition:ewing sarcoma cell line RD-ES@GSE107307.RNASeq.SRP125592_GRCh38,IFNA1,,IFNA1,GSE107307,RNASeq,SRP125592_GRCh38,,ewing sarcoma cell line RD-ES,IFNA1,,activating,,1.0,IFNA,,,,,,
IFNA@Condition:Fibroblast@GSE117637.RNASeq.SRP155182_GRCh38,IFNA1,10.549162998612626,IFNA1,GSE117637,RNASeq,SRP155182_GRCh38,,Fibroblast,IFNA1,,activating,,1.0,IFNA,,,,,,
IFNA@Condition:Fibroblast@GSE3920.MicroArray.GPL96,IFNA1,4.254768669236229,IFNA1,GSE3920,MicroArray,GPL96,,Fibroblast,IFNA1,,activating,,1.0,IFNA,,,,,,
IFNA@Condition:Fibroblast@GSE41960.MicroArray.PrimeView,IFNA1,,IFNA1,GSE41960,MicroArray,PrimeView,,Fibroblast,IFNA1,,activating,,1.0,IFNA,,,,,,
IFNA@Condition:Fibroblast&Duration:24 h@GSE24125.MicroArray.GPL10913,IFNA1,,IFNA1,GSE24125,MicroArray,GPL10913,,Fibroblast,IFNA1,,activating,24 h,1.0,IFNA,24.0,24.0,24.0,24.0,24.0,24.0
IFNA@Condition:HNEC@GSE19182.MicroArray.HuGene-1_0-st-v1,IFNA1,,IFNA1,GSE19182,MicroArray,HuGene-1_0-st-v1,,HNEC,IFNA1,,activating,,1.0,IFNA,,,,,,
IFNA@Condition:Huh7@GSE13046.MicroArray.HG-U133A_2,IFNA1,9.85155665883976,IFNA1,GSE13046,MicroArray,HG-U133A_2,,Huh7,IFNA1,,activating,,1.0,IFNA,,,,,,
IFNA@Condition:Immature DC@GSE7509.MicroArray.HG-U133_Plus_2,IFNA1,8.59708158645848,IFNA1,GSE7509,MicroArray,HG-U133_Plus_2,,Immature DC,IFNA1,,activating,,1.0,IFNA,,,,,,
IFNA@Condition:liver biopsy@GSE38663.MicroArray.HG-U133_Plus_2,IFNA1,4.450936157994062,IFNA1,GSE38663,MicroArray,HG-U133_Plus_2,,liver biopsy,IFNA1,,activating,,1.0,IFNA,,,,,,
IFNA@Condition:monocyte-derived dendritic cell@E-MEXP-2000.MicroArray.HG-U133A,IFNA1,6.237915284068396,IFNA1,E-MEXP-2000,MicroArray,HG-U133A,,monocyte-derived dendritic cell,IFNA1,,activating,,1.0,IFNA,,,,,,
IFNA@Condition:Monocyte@GSE100382.RNASeq.SRP110187_GRCh38,IFNA1,7.333539963922128,IFNA1,GSE100382,RNASeq,SRP110187_GRCh38,,Monocyte,IFNA1,,activating,,1.0,IFNA,,,,,,
IFNA@Condition:Monocyte&Duration:1h@GSE46911.MicroArray.HG-U133A,IFNA1,10.510998344511526,IFNA1,GSE46911,MicroArray,HG-U133A,,Monocyte,IFNA1,,activating,1h,1.0,IFNA,1.0,1.0,1.0,1.0,1.0,1.0
IFNA@Condition:Monocyte&Duration:24h@GSE46911.MicroArray.HG-U133A,IFNA1,7.376130054092735,IFNA1,GSE46911,MicroArray,HG-U133A,,Monocyte,IFNA1,,activating,24h,1.0,IFNA,24.0,24.0,24.0,24.0,24.0,24.0
IFNA@Condition:Monocyte&Duration:2d@GSE46911.MicroArray.HG-U133A,IFNA1,10.172682681071292,IFNA1,GSE46911,MicroArray,HG-U133A,,Monocyte,IFNA1,,activating,2d,1.0,IFNA,48.0,48.0,48.0,48.0,48.0,48.0
IFNA@Condition:Monocyte&Duration:3d@GSE46911.MicroArray.HG-U133A,IFNA1,11.855884218345787,IFNA1,GSE46911,MicroArray,HG-U133A,,Monocyte,IFNA1,,activating,3d,1.0,IFNA,72.0,72.0,72.0,72.0,72.0,72.0
IFNA@Condition:Monocyte&Duration:6h@GSE46911.MicroArray.HG-U133A,IFNA1,8.222762901769778,IFNA1,GSE46911,MicroArray,HG-U133A,,Monocyte,IFNA1,,activating,6h,1.0,IFNA,6.0,6.0,6.0,6.0,6.0,6.0
IFNA@Condition:primary human monocyte-derived macrophages (MDMs)@GSE54455.MicroArray.GPL6884,IFNA1,4.730033265272381,IFNA1,GSE54455,MicroArray,GPL6884,,primary human monocyte-derived macrophages (MDMs),IFNA1,,activating,,1.0,IFNA,,,,,,
IFNA@Condition:Whole Blood.healthy adult&Duration:6h@GSE103500.MicroArray.GPL10558,IFNA1,5.622125603514953,IFNA1,GSE103500,MicroArray,GPL10558,,Whole Blood.healthy adult,IFNA1,,activating,6h,1.0,IFNA,6.0,6.0,6.0,6.0,6.0,6.0
IFNA@Condition:WISH cells@GSE70270.MicroArray.HuGene-1_1-st-v1,IFNA1,,IFNA1,GSE70270,MicroArray,HuGene-1_1-st-v1,,WISH cells,IFNA1,,activating,,1.0,IFNA,,,,,,
IFNB@Condition:A549&Duration:24h@GSE12664.MicroArray.GPL6480,IFNA1,,IFNA1,GSE12664,MicroArray,GPL6480,,A549,IFNA1,,activating,24h,1.0,IFNB,24.0,24.0,24.0,24.0,24.0,24.0
IFNB@Condition:A549&Duration:6h@GSE12664.MicroArray.GPL6480,IFNA1,,IFNA1,GSE12664,MicroArray,GPL6480,,A549,IFNA1,,activating,6h,1.0,IFNB,6.0,6.0,6.0,6.0,6.0,6.0
IFNB@Condition:BJ@GSE20613.MicroArray.GPL6102,IFNA1,6.518198256998576,IFNA1,GSE20613,MicroArray,GPL6102,,BJ,IFNA1,,activating,,1.0,IFNB,,,,,,
IFNB@Condition:Dendritic@GSE54970.MicroArray.HG-U133_Plus_2,IFNA1,7.4881727627774355,IFNA1,GSE54970,MicroArray,HG-U133_Plus_2,,Dendritic,IFNA1,,activating,,1.0,IFNB,,,,,,
IFNB@Condition:Endothelial@GSE3920.MicroArray.GPL96,IFNA1,7.826159980093176,IFNA1,GSE3920,MicroArray,GPL96,,Endothelial,IFNA1,,activating,,1.0,IFNB,,,,,,
IFNB@Condition:ESC H9&Duration:6d@GSE141253.MicroArray.HG-U133_Plus_2,IFNA1,6.32467488368709,IFNA1,GSE141253,MicroArray,HG-U133_Plus_2,,ESC H9,IFNA1,,activating,6d,1.0,IFNB,144.0,144.0,144.0,144.0,144.0,144.0
IFNB@Condition:HEK293T@GSE99249.RNASeq.SRP107094_GRCh38,IFNA1,,IFNA1,GSE99249,RNASeq,SRP107094_GRCh38,,HEK293T,IFNA1,,activating,,1.0,IFNB,,,,,,
IFNB@Condition:HNEC@GSE19182.MicroArray.HuGene-1_0-st-v1,IFNA1,,IFNA1,GSE19182,MicroArray,HuGene-1_0-st-v1,,HNEC,IFNA1,,activating,,1.0,IFNB,,,,,,
IFNB@Condition:memory T-cells@GSE35601.MicroArray.HuGene-1_0-st-v1,IFNA1,,IFNA1,GSE35601,MicroArray,HuGene-1_0-st-v1,,memory T-cells,IFNA1,,activating,,1.0,IFNB,,,,,,
IFNB@Condition:monocyte-derived macrophages@E-MTAB-1437.MicroArray.Transformed_data_file,IFNA1,,IFNA1,E-MTAB-1437,MicroArray,Transformed_data_file,,monocyte-derived macrophages,IFNA1,,activating,,1.0,IFNB,,,,,,
IFNB@Condition:PBMC@GSE16214.MicroArray.HG-U133_Plus_2,IFNA1,4.559602070647582,IFNA1,GSE16214,MicroArray,HG-U133_Plus_2,,PBMC,IFNA1,,activating,,1.0,IFNB,,,,,,
IFNB@Condition:PH5CH8&Duration:12h@GSE117127.RNASeq.SRP153809_GRCh38,IFNA1,,IFNA1,GSE117127,RNASeq,SRP153809_GRCh38,,PH5CH8,IFNA1,,activating,12h,1.0,IFNB,12.0,12.0,12.0,12.0,12.0,12.0
IFNB@Condition:THP1@GSE128113.RNASeq.SRP188099_GRCh38,IFNA1,,IFNA1,GSE128113,RNASeq,SRP188099_GRCh38,,THP1,IFNA1,,activating,,1.0,IFNB,,,,,,
IFNG@Condition:A549&Duration:24h@GSE5542.MicroArray.GPL96,IFNG,2.702218535737652,IFNG,GSE5542,MicroArray,GPL96,,A549,IFNG,,activating,24h,1.0,IFNG,24.0,24.0,24.0,24.0,24.0,24.0
IFNG@Condition:A549&Duration:6h@GSE5542.MicroArray.GPL96,IFNG,3.1652696814770764,IFNG,GSE5542,MicroArray,GPL96,,A549,IFNG,,activating,6h,1.0,IFNG,6.0,6.0,6.0,6.0,6.0,6.0
IFNG@Condition:AALEB@GSE77154.MicroArray.HG-U133_Plus_2,IFNG,1.726112975589211,IFNG,GSE77154,MicroArray,HG-U133_Plus_2,,AALEB,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:AML.PLB-985@E-MTAB-5690.MicroArray.HuGene-2_0-st,IFNG,2.9285310250311007,IFNG,E-MTAB-5690,MicroArray,HuGene-2_0-st,,AML.PLB-985,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:B cell@GSE111475.MicroArray.GPL10558,IFNG,3.2110830467896774,IFNG,GSE111475,MicroArray,GPL10558,,B cell,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:Calu-3&Duration:21h@GSE33264.MicroArray.GPL4133,IFNG,3.3262644008270543,IFNG,GSE33264,MicroArray,GPL4133,,Calu-3,IFNG,,activating,21h,1.0,IFNG,21.0,21.0,21.0,21.0,21.0,21.0
IFNG@Condition:Calu-3&Duration:3h@GSE33264.MicroArray.GPL4133,IFNG,3.19550943334753,IFNG,GSE33264,MicroArray,GPL4133,,Calu-3,IFNG,,activating,3h,1.0,IFNG,3.0,3.0,3.0,3.0,3.0,3.0
IFNG@Condition:Calu-3&Duration:6h@GSE33264.MicroArray.GPL4133,IFNG,3.242261658583284,IFNG,GSE33264,MicroArray,GPL4133,,Calu-3,IFNG,,activating,6h,1.0,IFNG,6.0,6.0,6.0,6.0,6.0,6.0
IFNG@Condition:Endothelial@GSE3920.MicroArray.GPL96,IFNG,3.531571259605197,IFNG,GSE3920,MicroArray,GPL96,,Endothelial,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:Fibroblast@GSE3920.MicroArray.GPL96,IFNG,2.4464301961292594,IFNG,GSE3920,MicroArray,GPL96,,Fibroblast,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:Fibrosarcoma.HT1080@GSE128392.RNASeq.SRP188564_GRCh38,IFNG,,IFNG,GSE128392,RNASeq,SRP188564_GRCh38,,Fibrosarcoma.HT1080,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:HCT116 colorectal cancer cell&Duration:4h@GSE122985.MicroArray.GPL10558,IFNG,-0.4154625146245676,IFNG,GSE122985,MicroArray,GPL10558,,HCT116 colorectal cancer cell,IFNG,,activating,4h,1.0,IFNG,4.0,4.0,4.0,4.0,4.0,4.0
IFNG@Condition:HEK293 delta-RAF1:ER cells&Duration:1h@GSE97979.RNASeq.SRP104287_GRCh38,IFNG,,IFNG,GSE97979,RNASeq,SRP104287_GRCh38,,HEK293 delta-RAF1:ER cells,IFNG,,activating,1h,1.0,IFNG,1.0,1.0,1.0,1.0,1.0,1.0
IFNG@Condition:HEK293 delta-RAF1:ER cells&Duration:4h@GSE97979.RNASeq.SRP104287_GRCh38,IFNG,,IFNG,GSE97979,RNASeq,SRP104287_GRCh38,,HEK293 delta-RAF1:ER cells,IFNG,,activating,4h,1.0,IFNG,4.0,4.0,4.0,4.0,4.0,4.0
IFNG@Condition:Hep3B@E-MTAB-4570.MicroArray.HTA-2_0,IFNG,3.6224066742594463,IFNG,E-MTAB-4570,MicroArray,HTA-2_0,,Hep3B,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:HepG2@E-MTAB-4570.MicroArray.HTA-2_0,IFNG,3.2857182091314603,IFNG,E-MTAB-4570,MicroArray,HTA-2_0,,HepG2,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:HK-2&Duration:90m@GSE68942.MicroArray.GPL10558,IFNG,3.2343963600290104,IFNG,GSE68942,MicroArray,GPL10558,,HK-2,IFNG,,activating,90m,1.0,IFNG,1.5,1.5,1.5,1.5,1.5,1.5
IFNG@Condition:HMEC1@GSE19082.MicroArray.GPL6104,IFNG,3.089718916736703,IFNG,GSE19082,MicroArray,GPL6104,,HMEC1,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:HNEC@GSE19182.MicroArray.HuGene-1_0-st-v1,IFNG,2.701121508747258,IFNG,GSE19182,MicroArray,HuGene-1_0-st-v1,,HNEC,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:HuH-7@E-MTAB-4570.MicroArray.HTA-2_0,IFNG,3.074037975217261,IFNG,E-MTAB-4570,MicroArray,HTA-2_0,,HuH-7,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:human epidermal keratinocytes&Duration:24h@GSE53751.MicroArray.HG-U133_Plus_2,IFNG,2.0999242688417814,IFNG,GSE53751,MicroArray,HG-U133_Plus_2,,human epidermal keratinocytes,IFNG,,activating,24h,1.0,IFNG,24.0,24.0,24.0,24.0,24.0,24.0
IFNG@Condition:human primary macrophages@GSE66809.RNASeq.SRP056098_GRCh38,IFNG,,IFNG,GSE66809,RNASeq,SRP056098_GRCh38,,human primary macrophages,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:HUVEC@GSE6092.MicroArray.HG-U133_Plus_2,IFNG,2.8195830807250437,IFNG,GSE6092,MicroArray,HG-U133_Plus_2,,HUVEC,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:Lung adenocarcinoma@GSE109720.RNASeq.SRP131516_GRCh38,IFNG,1.3001792847457565,IFNG,GSE109720,RNASeq,SRP131516_GRCh38,,Lung adenocarcinoma,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:Macrophage@E-MTAB-3255.MicroArray.MDM_Transformed_data_matrix,IFNG,3.1263385112939224,IFNG,E-MTAB-3255,MicroArray,MDM_Transformed_data_matrix,,Macrophage,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:Macrophage@GSE30273.MicroArray.GPL6848,IFNG,3.03194238515237,IFNG,GSE30273,MicroArray,GPL6848,,Macrophage,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:Macrophage@GSE49240.MicroArray.GPL10558,IFNG,2.104687375366953,IFNG,GSE49240,MicroArray,GPL10558,,Macrophage,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:Macrophage@GSE98368.RNASeq.SRP105796_GRCh38,IFNG,1.375975005742113,IFNG,GSE98368,RNASeq,SRP105796_GRCh38,,Macrophage,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:Macrophage&Duration:18h@GSE36537.MicroArray.GPL6480,IFNG,,IFNG,GSE36537,MicroArray,GPL6480,,Macrophage,IFNG,,activating,18h,1.0,IFNG,18.0,18.0,18.0,18.0,18.0,18.0
IFNG@Condition:Macrophage&Duration:24 h@GSE85346.MicroArray.GPL13497,IFNG,2.510176890096257,IFNG,GSE85346,MicroArray,GPL13497,,Macrophage,IFNG,,activating,24 h,1.0,IFNG,24.0,24.0,24.0,24.0,24.0,24.0
IFNG@Condition:Macrophage&Duration:7d@GSE49706.MicroArray.GPL10558,IFNG,2.7964611708405447,IFNG,GSE49706,MicroArray,GPL10558,,Macrophage,IFNG,,activating,7d,1.0,IFNG,168.0,168.0,168.0,168.0,168.0,168.0
IFNG@Condition:Monocyte&Duration:18h@GSE36537.MicroArray.GPL6480,IFNG,,IFNG,GSE36537,MicroArray,GPL6480,,Monocyte,IFNG,,activating,18h,1.0,IFNG,18.0,18.0,18.0,18.0,18.0,18.0
IFNG@Condition:Monocyte&Duration:6h@GSE36537.MicroArray.GPL6480,IFNG,,IFNG,GSE36537,MicroArray,GPL6480,,Monocyte,IFNG,,activating,6h,1.0,IFNG,6.0,6.0,6.0,6.0,6.0,6.0
IFNG@Condition:monocytes@GSE120944.RNASeq.SRP164578_GRCh38,IFNG,-0.2568476799050259,IFNG,GSE120944,RNASeq,SRP164578_GRCh38,,monocytes,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:Monocytes@GSE83957.MicroArray.GPL10558,IFNG,2.949837978529529,IFNG,GSE83957,MicroArray,GPL10558,,Monocytes,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:NHEK@GSE7216.MicroArray.HG-U133_Plus_2,IFNG,2.879017010691375,IFNG,GSE7216,MicroArray,HG-U133_Plus_2,,NHEK,IFNG,,activating,,1.0,IFNG,,,,,,
IFNG@Condition:Primary human fibroblasts&Duration:24h@GSE106523.MicroArray.GPL13497,IFNG,3.30794911557579,IFNG,GSE106523,MicroArray,GPL13497,,Primary human fibroblasts,IFNG,,activating,24h,1.0,IFNG,24.0,24.0,24.0,24.0,24.0,24.0
IFNG@Condition:Primary human fibroblasts&Duration:3h@GSE106523.MicroArray.GPL13497,IFNG,3.1254618957450857,IFNG,GSE106523,MicroArray,GPL13497,,Primary human fibroblasts,IFNG,,activating,3h,1.0,IFNG,3.0,3.0,3.0,3.0,3.0,3.0
IFNG@Condition:Primary human fibroblasts&Duration:6h@GSE106523.MicroArray.GPL13497,IFNG,3.398074913495619,IFNG,GSE106523,MicroArray,GPL13497,,Primary human fibroblasts,IFNG,,activating,6h,1.0,IFNG,6.0,6.0,6.0,6.0,6.0,6.0
IFNG@Condition:Primary human lung microvascular endothelial cells&Duration:24h@GSE106524.MicroArray.GPL13497,IFNG,2.9985546264159675,IFNG,GSE106524,MicroArray,GPL13497,,Primary human lung microvascular endothelial cells,IFNG,,activating,24h,1.0,IFNG,24.0,24.0,24.0,24.0,24.0,24.0
IFNG@Condition:Primary human lung microvascular endothelial cells&Duration:3h@GSE106524.MicroArray.GPL13497,IFNG,2.6481210025766457,IFNG,GSE106524,MicroArray,GPL13497,,Primary human lung microvascular endothelial cells,IFNG,,activating,3h,1.0,IFNG,3.0,3.0,3.0,3.0,3.0,3.0
IFNG@Condition:Primary human lung microvascular endothelial cells&Duration:6h@GSE106524.MicroArray.GPL13497,IFNG,3.00006481863203,IFNG,GSE106524,MicroArray,GPL13497,,Primary human lung microvascular endothelial cells,IFNG,,activating,6h,1.0,IFNG,6.0,6.0,6.0,6.0,6.0,6.0
IFNG@Condition:Retinal pigment epithelial (RPE) cells&Duration:48h@GSE36331.MicroArray.GPL6244,IFNG,2.2861105610868067,IFNG,GSE36331,MicroArray,GPL6244,,Retinal pigment epithelial (RPE) cells,IFNG,,activating,48h,1.0,IFNG,48.0,48.0,48.0,48.0,48.0,48.0
IFNG@Condition:Squamous cell carcinoma@GSE109720.RNASeq.SRP131516_GRCh38,IFNG,2.9794069045155114,IFNG,GSE109720,RNASeq,SRP131516_GRCh38,,Squamous cell carcinoma,IFNG,,activating,,1.0,IFNG,,,,,,
IGF1@Condition:endometrial carcinoma@GSE109022.MicroArray.GPL17692,IGF1,-0.7119305145568628,IGF1,GSE109022,MicroArray,GPL17692,,endometrial carcinoma,IGF1,,activating,,1.0,IGF1,,,,,,
IGF1@Condition:MCF-7&Duration:24h@GSE7561.MicroArray.HG-U133A_2,IGF1,-0.1369188356102683,IGF1,GSE7561,MicroArray,HG-U133A_2,,MCF-7,IGF1,,activating,24h,1.0,IGF1,24.0,24.0,24.0,24.0,24.0,24.0
IGF1@Condition:MCF-7&Duration:3h@GSE7561.MicroArray.HG-U133A_2,IGF1,-0.5927499334394877,IGF1,GSE7561,MicroArray,HG-U133A_2,,MCF-7,IGF1,,activating,3h,1.0,IGF1,3.0,3.0,3.0,3.0,3.0,3.0
IGF1@Condition:MCF7&Duration:24h@GSE26834.MicroArray.HG-U133A_2,IGF1,-0.193184294423536,IGF1,GSE26834,MicroArray,HG-U133A_2,,MCF7,IGF1,,activating,24h,1.0,IGF1,24.0,24.0,24.0,24.0,24.0,24.0
IGF1@Condition:MCF7&Duration:3h@GSE26834.MicroArray.HG-U133A_2,IGF1,-0.5768229480705063,IGF1,GSE26834,MicroArray,HG-U133A_2,,MCF7,IGF1,,activating,3h,1.0,IGF1,3.0,3.0,3.0,3.0,3.0,3.0
IGF1@Condition:WM35@GSE59343.MicroArray.GPL10558,IGF1,-0.3501899351125134,IGF1,GSE59343,MicroArray,GPL10558,,WM35,IGF1,,activating,,1.0,IGF1,,,,,,
IGF2@Condition:dental progenitor/stem cells&Duration:7d@GSE20963.MicroArray.HuGene-1_0-st-v1,IGF2,,IGF2,GSE20963,MicroArray,HuGene-1_0-st-v1,,dental progenitor/stem cells,IGF2,,activating,7d,1.0,IGF2,168.0,168.0,168.0,168.0,168.0,168.0
IL1@Condition:Macrophage@GSE8515.MicroArray.HG-U133A,IL1A,2.328594959856471,IL1A,GSE8515,MicroArray,HG-U133A,,Macrophage,IL1A,,activating,,1.0,IL1,,,,,,
IL10@Condition:CD4+ T cell@GSE17946.MicroArray.GPL2507,IL10,-3.478334725686154,IL10,GSE17946,MicroArray,GPL2507,,CD4+ T cell,IL10,,activating,,1.0,IL10,,,,,,
IL10@Condition:CD4+ T cell&Duration:8@GSE15390.MicroArray.GPL2507,IL10,-3.518356848681893,IL10,GSE15390,MicroArray,GPL2507,,CD4+ T cell,IL10,,activating,8,1.0,IL10,8.0,8.0,8.0,8.0,8.0,8.0
IL10@Condition:CD4+ T cell&Duration:8h@GSE17199.MicroArray.GPL2507,IL10,-3.425557458567744,IL10,GSE17199,MicroArray,GPL2507,,CD4+ T cell,IL10,,activating,8h,1.0,IL10,8.0,8.0,8.0,8.0,8.0,8.0
IL10@Condition:Macrophage@E-MTAB-3255.MicroArray.MDM_Transformed_data_matrix,IL10,-3.877449864479464,IL10,E-MTAB-3255,MicroArray,MDM_Transformed_data_matrix,,Macrophage,IL10,,activating,,1.0,IL10,,,,,,
IL10@Condition:Macrophage@GSE49240.MicroArray.GPL10558,IL10,-2.5362116649559487,IL10,GSE49240,MicroArray,GPL10558,,Macrophage,IL10,,activating,,1.0,IL10,,,,,,
IL10@Condition:Macrophage&Duration:12h@GSE57614.MicroArray.GPL6480,IL10,3.5493920354242414,IL10,GSE57614,MicroArray,GPL6480,,Macrophage,IL10,,activating,12h,1.0,IL10,12.0,12.0,12.0,12.0,12.0,12.0
IL10@Condition:Macrophage&Duration:24 h@GSE85346.MicroArray.GPL13497,IL10,-1.6734940105783644,IL10,GSE85346,MicroArray,GPL13497,,Macrophage,IL10,,activating,24 h,1.0,IL10,24.0,24.0,24.0,24.0,24.0,24.0
