id,source,score,target,accession,platformType,platform,pathway,cells,treatment,dose,effect,hours,sign,targets
IFNA@Condition:endothelial progenitor cells (EPCs)/myeloid circulating angiogenic cells (CACs)_healthy@GSE26949.MicroArray.GPL11670,IFNA1,7.761024196558987,IFNA1,GSE26949,MicroArray,GPL11670,NA,endothelial progenitor cells (EPCs)/myeloid circulating angiogenic cells (CACs),IFNA1,NA,activating,NA,1,IFNA
IFNA@Condition:endothelial progenitor cells (EPCs)/myeloid circulating angiogenic cells (CACs)_lupus@GSE26950.MicroArray.GPL11670,IFNA1,-0.34532569543339914,IFNA1,GSE26950,MicroArray,GPL11670,NA,endothelial progenitor cells (EPCs)/myeloid circulating angiogenic cells (CACs),IFNA1,NA,activating,NA,1,IFNA
IFNA@Condition:Endothelial Progenitor@GSE26951.MicroArray.HG-U133_Plus_2,IFNA1,7.05101213179293,IFNA1,GSE26951,MicroArray,HG-U133_Plus_2,NA,Endothelial Progenitor,IFNA1,NA,activating,NA,1,IFNA
IFNA@Condition:Endothelial@GSE3920.MicroArray.GPL96,IFNA1,8.84969370798571,IFNA1,GSE3920,MicroArray,GPL96,NA,Endothelial,IFNA1,NA,activating,NA,1,IFNA
IFNA@Condition:ewing sarcoma cell line RD-ES@GSE107307.RNASeq.SRP125592_GRCh38,IFNA1,NA,IFNA1,GSE107307,RNASeq,SRP125592_GRCh38,NA,ewing sarcoma cell line RD-ES,IFNA1,NA,activating,NA,1,IFNA
IFNA@Condition:Fibroblast@GSE117637.RNASeq.SRP155182_GRCh38,IFNA1,10.549162998612626,IFNA1,GSE117637,RNASeq,SRP155182_GRCh38,NA,Fibroblast,IFNA1,NA,activating,NA,1,IFNA
IFNA@Condition:Fibroblast@GSE3920.MicroArray.GPL96,IFNA1,4.254768669236229,IFNA1,GSE3920,MicroArray,GPL96,NA,Fibroblast,IFNA1,NA,activating,NA,1,IFNA
IFNA@Condition:Fibroblast@GSE41960.MicroArray.PrimeView,IFNA1,NA,IFNA1,GSE41960,MicroArray,PrimeView,NA,Fibroblast,IFNA1,NA,activating,NA,1,IFNA
IFNA@Condition:Fibroblast&Duration:24 h@GSE24125.MicroArray.GPL10913,IFNA1,NA,IFNA1,GSE24125,MicroArray,GPL10913,NA,Fibroblast,IFNA1,NA,activating,24 h,1,IFNA
IFNA@Condition:HNEC@GSE19182.MicroArray.HuGene-1_0-st-v1,IFNA1,NA,IFNA1,GSE19182,MicroArray,HuGene-1_0-st-v1,NA,HNEC,IFNA1,NA,activating,NA,1,IFNA
IFNA@Condition:Huh7@GSE13046.MicroArray.HG-U133A_2,IFNA1,9.85155665883976,IFNA1,GSE13046,MicroArray,HG-U133A_2,NA,Huh7,IFNA1,NA,activating,NA,1,IFNA
IFNA@Condition:Immature DC@GSE7509.MicroArray.HG-U133_Plus_2,IFNA1,8.59708158645848,IFNA1,GSE7509,MicroArray,HG-U133_Plus_2,NA,Immature DC,IFNA1,NA,activating,NA,1,IFNA
IFNA@Condition:liver biopsy@GSE38663.MicroArray.HG-U133_Plus_2,IFNA1,4.450936157994062,IFNA1,GSE38663,MicroArray,HG-U133_Plus_2,NA,liver biopsy,IFNA1,NA,activating,NA,1,IFNA
IFNA@Condition:monocyte-derived dendritic cell@E-MEXP-2000.MicroArray.HG-U133A,IFNA1,6.237915284068396,IFNA1,E-MEXP-2000,MicroArray,HG-U133A,NA,monocyte-derived dendritic cell,IFNA1,NA,activating,NA,1,IFNA
IFNA@Condition:Monocyte@GSE100382.RNASeq.SRP110187_GRCh38,IFNA1,7.333539963922128,IFNA1,GSE100382,RNASeq,SRP110187_GRCh38,NA,Monocyte,IFNA1,NA,activating,NA,1,IFNA
IFNA@Condition:Monocyte&Duration:1h@GSE46911.MicroArray.HG-U133A,IFNA1,10.510998344511526,IFNA1,GSE46911,MicroArray,HG-U133A,NA,Monocyte,IFNA1,NA,activating,1h,1,IFNA
IFNA@Condition:Monocyte&Duration:24h@GSE46911.MicroArray.HG-U133A,IFNA1,7.376130054092735,IFNA1,GSE46911,MicroArray,HG-U133A,NA,Monocyte,IFNA1,NA,activating,24h,1,IFNA
IFNA@Condition:Monocyte&Duration:2d@GSE46911.MicroArray.HG-U133A,IFNA1,10.172682681071292,IFNA1,GSE46911,MicroArray,HG-U133A,NA,Monocyte,IFNA1,NA,activating,2d,1,IFNA
IFNA@Condition:Monocyte&Duration:3d@GSE46911.MicroArray.HG-U133A,IFNA1,11.855884218345787,IFNA1,GSE46911,MicroArray,HG-U133A,NA,Monocyte,IFNA1,NA,activating,3d,1,IFNA
IFNA@Condition:Monocyte&Duration:6h@GSE46911.MicroArray.HG-U133A,IFNA1,8.222762901769778,IFNA1,GSE46911,MicroArray,HG-U133A,NA,Monocyte,IFNA1,NA,activating,6h,1,IFNA
IFNA@Condition:primary human monocyte-derived macrophages (MDMs)@GSE54455.MicroArray.GPL6884,IFNA1,4.730033265272381,IFNA1,GSE54455,MicroArray,GPL6884,NA,primary human monocyte-derived macrophages (MDMs),IFNA1,NA,activating,NA,1,IFNA
IFNA@Condition:Whole Blood.healthy adult&Duration:6h@GSE103500.MicroArray.GPL10558,IFNA1,5.622125603514953,IFNA1,GSE103500,MicroArray,GPL10558,NA,Whole Blood.healthy adult,IFNA1,NA,activating,6h,1,IFNA
IFNA@Condition:WISH cells@GSE70270.MicroArray.HuGene-1_1-st-v1,IFNA1,NA,IFNA1,GSE70270,MicroArray,HuGene-1_1-st-v1,NA,WISH cells,IFNA1,NA,activating,NA,1,IFNA
IFNB@Condition:A549&Duration:24h@GSE12664.MicroArray.GPL6480,IFNA1,NA,IFNA1,GSE12664,MicroArray,GPL6480,NA,A549,IFNA1,NA,activating,24h,1,IFNB
IFNB@Condition:A549&Duration:6h@GSE12664.MicroArray.GPL6480,IFNA1,NA,IFNA1,GSE12664,MicroArray,GPL6480,NA,A549,IFNA1,NA,activating,6h,1,IFNB
IFNB@Condition:BJ@GSE20613.MicroArray.GPL6102,IFNA1,6.518198256998576,IFNA1,GSE20613,MicroArray,GPL6102,NA,BJ,IFNA1,NA,activating,NA,1,IFNB
IFNB@Condition:Dendritic@GSE54970.MicroArray.HG-U133_Plus_2,IFNA1,7.4881727627774355,IFNA1,GSE54970,MicroArray,HG-U133_Plus_2,NA,Dendritic,IFNA1,NA,activating,NA,1,IFNB
IFNB@Condition:Endothelial@GSE3920.MicroArray.GPL96,IFNA1,7.826159980093176,IFNA1,GSE3920,MicroArray,GPL96,NA,Endothelial,IFNA1,NA,activating,NA,1,IFNB
IFNB@Condition:ESC H9&Duration:6d@GSE141253.MicroArray.HG-U133_Plus_2,IFNA1,6.32467488368709,IFNA1,GSE141253,MicroArray,HG-U133_Plus_2,NA,ESC H9,IFNA1,NA,activating,6d,1,IFNB
IFNB@Condition:HEK293T@GSE99249.RNASeq.SRP107094_GRCh38,IFNA1,NA,IFNA1,GSE99249,RNASeq,SRP107094_GRCh38,NA,HEK293T,IFNA1,NA,activating,NA,1,IFNB
IFNB@Condition:HNEC@GSE19182.MicroArray.HuGene-1_0-st-v1,IFNA1,NA,IFNA1,GSE19182,MicroArray,HuGene-1_0-st-v1,NA,HNEC,IFNA1,NA,activating,NA,1,IFNB
IFNB@Condition:memory T-cells@GSE35601.MicroArray.HuGene-1_0-st-v1,IFNA1,NA,IFNA1,GSE35601,MicroArray,HuGene-1_0-st-v1,NA,memory T-cells,IFNA1,NA,activating,NA,1,IFNB
IFNB@Condition:monocyte-derived macrophages@E-MTAB-1437.MicroArray.Transformed_data_file,IFNA1,NA,IFNA1,E-MTAB-1437,MicroArray,Transformed_data_file,NA,monocyte-derived macrophages,IFNA1,NA,activating,NA,1,IFNB
IFNB@Condition:PBMC@GSE16214.MicroArray.HG-U133_Plus_2,IFNA1,4.559602070647582,IFNA1,GSE16214,MicroArray,HG-U133_Plus_2,NA,PBMC,IFNA1,NA,activating,NA,1,IFNB
IFNB@Condition:PH5CH8&Duration:12h@GSE117127.RNASeq.SRP153809_GRCh38,IFNA1,NA,IFNA1,GSE117127,RNASeq,SRP153809_GRCh38,NA,PH5CH8,IFNA1,NA,activating,12h,1,IFNB
IFNB@Condition:THP1@GSE128113.RNASeq.SRP188099_GRCh38,IFNA1,NA,IFNA1,GSE128113,RNASeq,SRP188099_GRCh38,NA,THP1,IFNA1,NA,activating,NA,1,IFNB
IFNG@Condition:A549&Duration:24h@GSE5542.MicroArray.GPL96,IFNG,2.702218535737652,IFNG,GSE5542,MicroArray,GPL96,NA,A549,IFNG,NA,activating,24h,1,IFNG
IFNG@Condition:A549&Duration:6h@GSE5542.MicroArray.GPL96,IFNG,3.1652696814770764,IFNG,GSE5542,MicroArray,GPL96,NA,A549,IFNG,NA,activating,6h,1,IFNG
IFNG@Condition:AALEB@GSE77154.MicroArray.HG-U133_Plus_2,IFNG,1.726112975589211,IFNG,GSE77154,MicroArray,HG-U133_Plus_2,NA,AALEB,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:AML.PLB-985@E-MTAB-5690.MicroArray.HuGene-2_0-st,IFNG,2.9285310250311007,IFNG,E-MTAB-5690,MicroArray,HuGene-2_0-st,NA,AML.PLB-985,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:B cell@GSE111475.MicroArray.GPL10558,IFNG,3.2110830467896774,IFNG,GSE111475,MicroArray,GPL10558,NA,B cell,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:Calu-3&Duration:21h@GSE33264.MicroArray.GPL4133,IFNG,3.3262644008270543,IFNG,GSE33264,MicroArray,GPL4133,NA,Calu-3,IFNG,NA,activating,21h,1,IFNG
IFNG@Condition:Calu-3&Duration:3h@GSE33264.MicroArray.GPL4133,IFNG,3.19550943334753,IFNG,GSE33264,MicroArray,GPL4133,NA,Calu-3,IFNG,NA,activating,3h,1,IFNG
IFNG@Condition:Calu-3&Duration:6h@GSE33264.MicroArray.GPL4133,IFNG,3.242261658583284,IFNG,GSE33264,MicroArray,GPL4133,NA,Calu-3,IFNG,NA,activating,6h,1,IFNG
IFNG@Condition:Endothelial@GSE3920.MicroArray.GPL96,IFNG,3.531571259605197,IFNG,GSE3920,MicroArray,GPL96,NA,Endothelial,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:Fibroblast@GSE3920.MicroArray.GPL96,IFNG,2.4464301961292594,IFNG,GSE3920,MicroArray,GPL96,NA,Fibroblast,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:Fibrosarcoma.HT1080@GSE128392.RNASeq.SRP188564_GRCh38,IFNG,NA,IFNG,GSE128392,RNASeq,SRP188564_GRCh38,NA,Fibrosarcoma.HT1080,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:HCT116 colorectal cancer cell&Duration:4h@GSE122985.MicroArray.GPL10558,IFNG,-0.4154625146245676,IFNG,GSE122985,MicroArray,GPL10558,NA,HCT116 colorectal cancer cell,IFNG,NA,activating,4h,1,IFNG
IFNG@Condition:HEK293 delta-RAF1:ER cells&Duration:1h@GSE97979.RNASeq.SRP104287_GRCh38,IFNG,NA,IFNG,GSE97979,RNASeq,SRP104287_GRCh38,NA,HEK293 delta-RAF1:ER cells,IFNG,NA,activating,1h,1,IFNG
IFNG@Condition:HEK293 delta-RAF1:ER cells&Duration:4h@GSE97979.RNASeq.SRP104287_GRCh38,IFNG,NA,IFNG,GSE97979,RNASeq,SRP104287_GRCh38,NA,HEK293 delta-RAF1:ER cells,IFNG,NA,activating,4h,1,IFNG
IFNG@Condition:Hep3B@E-MTAB-4570.MicroArray.HTA-2_0,IFNG,3.6224066742594463,IFNG,E-MTAB-4570,MicroArray,HTA-2_0,NA,Hep3B,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:HepG2@E-MTAB-4570.MicroArray.HTA-2_0,IFNG,3.2857182091314603,IFNG,E-MTAB-4570,MicroArray,HTA-2_0,NA,HepG2,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:HK-2&Duration:90m@GSE68942.MicroArray.GPL10558,IFNG,3.2343963600290104,IFNG,GSE68942,MicroArray,GPL10558,NA,HK-2,IFNG,NA,activating,90m,1,IFNG
IFNG@Condition:HMEC1@GSE19082.MicroArray.GPL6104,IFNG,3.089718916736703,IFNG,GSE19082,MicroArray,GPL6104,NA,HMEC1,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:HNEC@GSE19182.MicroArray.HuGene-1_0-st-v1,IFNG,2.7011215087472586,IFNG,GSE19182,MicroArray,HuGene-1_0-st-v1,NA,HNEC,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:HuH-7@E-MTAB-4570.MicroArray.HTA-2_0,IFNG,3.074037975217261,IFNG,E-MTAB-4570,MicroArray,HTA-2_0,NA,HuH-7,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:human epidermal keratinocytes&Duration:24h@GSE53751.MicroArray.HG-U133_Plus_2,IFNG,2.0999242688417814,IFNG,GSE53751,MicroArray,HG-U133_Plus_2,NA,human epidermal keratinocytes,IFNG,NA,activating,24h,1,IFNG
IFNG@Condition:human primary macrophages@GSE66809.RNASeq.SRP056098_GRCh38,IFNG,NA,IFNG,GSE66809,RNASeq,SRP056098_GRCh38,NA,human primary macrophages,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:HUVEC@GSE6092.MicroArray.HG-U133_Plus_2,IFNG,2.8195830807250433,IFNG,GSE6092,MicroArray,HG-U133_Plus_2,NA,HUVEC,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:Lung adenocarcinoma@GSE109720.RNASeq.SRP131516_GRCh38,IFNG,1.3001792847457563,IFNG,GSE109720,RNASeq,SRP131516_GRCh38,NA,Lung adenocarcinoma,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:Macrophage@E-MTAB-3255.MicroArray.MDM_Transformed_data_matrix,IFNG,3.1263385112939224,IFNG,E-MTAB-3255,MicroArray,MDM_Transformed_data_matrix,NA,Macrophage,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:Macrophage@GSE30273.MicroArray.GPL6848,IFNG,3.03194238515237,IFNG,GSE30273,MicroArray,GPL6848,NA,Macrophage,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:Macrophage@GSE49240.MicroArray.GPL10558,IFNG,2.104687375366953,IFNG,GSE49240,MicroArray,GPL10558,NA,Macrophage,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:Macrophage@GSE98368.RNASeq.SRP105796_GRCh38,IFNG,1.375975005742113,IFNG,GSE98368,RNASeq,SRP105796_GRCh38,NA,Macrophage,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:Macrophage&Duration:18h@GSE36537.MicroArray.GPL6480,IFNG,NA,IFNG,GSE36537,MicroArray,GPL6480,NA,Macrophage,IFNG,NA,activating,18h,1,IFNG
IFNG@Condition:Macrophage&Duration:24 h@GSE85346.MicroArray.GPL13497,IFNG,2.510176890096257,IFNG,GSE85346,MicroArray,GPL13497,NA,Macrophage,IFNG,NA,activating,24 h,1,IFNG
IFNG@Condition:Macrophage&Duration:7d@GSE49706.MicroArray.GPL10558,IFNG,2.7964611708405447,IFNG,GSE49706,MicroArray,GPL10558,NA,Macrophage,IFNG,NA,activating,7d,1,IFNG
IFNG@Condition:Monocyte&Duration:18h@GSE36537.MicroArray.GPL6480,IFNG,NA,IFNG,GSE36537,MicroArray,GPL6480,NA,Monocyte,IFNG,NA,activating,18h,1,IFNG
IFNG@Condition:Monocyte&Duration:6h@GSE36537.MicroArray.GPL6480,IFNG,NA,IFNG,GSE36537,MicroArray,GPL6480,NA,Monocyte,IFNG,NA,activating,6h,1,IFNG
IFNG@Condition:monocytes@GSE120944.RNASeq.SRP164578_GRCh38,IFNG,-0.2568476799050259,IFNG,GSE120944,RNASeq,SRP164578_GRCh38,NA,monocytes,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:Monocytes@GSE83957.MicroArray.GPL10558,IFNG,2.9498379785295286,IFNG,GSE83957,MicroArray,GPL10558,NA,Monocytes,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:NHEK@GSE7216.MicroArray.HG-U133_Plus_2,IFNG,2.879017010691375,IFNG,GSE7216,MicroArray,HG-U133_Plus_2,NA,NHEK,IFNG,NA,activating,NA,1,IFNG
IFNG@Condition:Primary human fibroblasts&Duration:24h@GSE106523.MicroArray.GPL13497,IFNG,3.30794911557579,IFNG,GSE106523,MicroArray,GPL13497,NA,Primary human fibroblasts,IFNG,NA,activating,24h,1,IFNG
IFNG@Condition:Primary human fibroblasts&Duration:3h@GSE106523.MicroArray.GPL13497,IFNG,3.1254618957450857,IFNG,GSE106523,MicroArray,GPL13497,NA,Primary human fibroblasts,IFNG,NA,activating,3h,1,IFNG
IFNG@Condition:Primary human fibroblasts&Duration:6h@GSE106523.MicroArray.GPL13497,IFNG,3.398074913495619,IFNG,GSE106523,MicroArray,GPL13497,NA,Primary human fibroblasts,IFNG,NA,activating,6h,1,IFNG
IFNG@Condition:Primary human lung microvascular endothelial cells&Duration:24h@GSE106524.MicroArray.GPL13497,IFNG,2.9985546264159675,IFNG,GSE106524,MicroArray,GPL13497,NA,Primary human lung microvascular endothelial cells,IFNG,NA,activating,24h,1,IFNG
IFNG@Condition:Primary human lung microvascular endothelial cells&Duration:3h@GSE106524.MicroArray.GPL13497,IFNG,2.6481210025766457,IFNG,GSE106524,MicroArray,GPL13497,NA,Primary human lung microvascular endothelial cells,IFNG,NA,activating,3h,1,IFNG
IFNG@Condition:Primary human lung microvascular endothelial cells&Duration:6h@GSE106524.MicroArray.GPL13497,IFNG,3.00006481863203,IFNG,GSE106524,MicroArray,GPL13497,NA,Primary human lung microvascular endothelial cells,IFNG,NA,activating,6h,1,IFNG
IFNG@Condition:Retinal pigment epithelial (RPE) cells&Duration:48h@GSE36331.MicroArray.GPL6244,IFNG,2.2861105610868067,IFNG,GSE36331,MicroArray,GPL6244,NA,Retinal pigment epithelial (RPE) cells,IFNG,NA,activating,48h,1,IFNG
IFNG@Condition:Squamous cell carcinoma@GSE109720.RNASeq.SRP131516_GRCh38,IFNG,2.9794069045155114,IFNG,GSE109720,RNASeq,SRP131516_GRCh38,NA,Squamous cell carcinoma,IFNG,NA,activating,NA,1,IFNG
IGF1@Condition:endometrial carcinoma@GSE109022.MicroArray.GPL17692,IGF1,-0.7119305145568628,IGF1,GSE109022,MicroArray,GPL17692,NA,endometrial carcinoma,IGF1,NA,activating,NA,1,IGF1
IGF1@Condition:MCF-7&Duration:24h@GSE7561.MicroArray.HG-U133A_2,IGF1,-0.13691883561026835,IGF1,GSE7561,MicroArray,HG-U133A_2,NA,MCF-7,IGF1,NA,activating,24h,1,IGF1
IGF1@Condition:MCF-7&Duration:3h@GSE7561.MicroArray.HG-U133A_2,IGF1,-0.5927499334394877,IGF1,GSE7561,MicroArray,HG-U133A_2,NA,MCF-7,IGF1,NA,activating,3h,1,IGF1
IGF1@Condition:MCF7&Duration:24h@GSE26834.MicroArray.HG-U133A_2,IGF1,-0.19318429442353607,IGF1,GSE26834,MicroArray,HG-U133A_2,NA,MCF7,IGF1,NA,activating,24h,1,IGF1
IGF1@Condition:MCF7&Duration:3h@GSE26834.MicroArray.HG-U133A_2,IGF1,-0.5768229480705063,IGF1,GSE26834,MicroArray,HG-U133A_2,NA,MCF7,IGF1,NA,activating,3h,1,IGF1
IGF1@Condition:WM35@GSE59343.MicroArray.GPL10558,IGF1,-0.35018993511251345,IGF1,GSE59343,MicroArray,GPL10558,NA,WM35,IGF1,NA,activating,NA,1,IGF1
IGF2@Condition:dental progenitor/stem cells&Duration:7d@GSE20963.MicroArray.HuGene-1_0-st-v1,IGF2,NA,IGF2,GSE20963,MicroArray,HuGene-1_0-st-v1,NA,dental progenitor/stem cells,IGF2,NA,activating,7d,1,IGF2
IL1@Condition:Macrophage@GSE8515.MicroArray.HG-U133A,IL1A,2.328594959856471,IL1A,GSE8515,MicroArray,HG-U133A,NA,Macrophage,IL1A,NA,activating,NA,1,IL1
IL10@Condition:CD4+ T cell@GSE17946.MicroArray.GPL2507,IL10,-3.478334725686154,IL10,GSE17946,MicroArray,GPL2507,NA,CD4+ T cell,IL10,NA,activating,NA,1,IL10
IL10@Condition:CD4+ T cell&Duration:8@GSE15390.MicroArray.GPL2507,IL10,-3.5183568486818935,IL10,GSE15390,MicroArray,GPL2507,NA,CD4+ T cell,IL10,NA,activating,8,1,IL10
IL10@Condition:CD4+ T cell&Duration:8h@GSE17199.MicroArray.GPL2507,IL10,-3.4255574585677437,IL10,GSE17199,MicroArray,GPL2507,NA,CD4+ T cell,IL10,NA,activating,8h,1,IL10
IL10@Condition:Macrophage@E-MTAB-3255.MicroArray.MDM_Transformed_data_matrix,IL10,-3.877449864479464,IL10,E-MTAB-3255,MicroArray,MDM_Transformed_data_matrix,NA,Macrophage,IL10,NA,activating,NA,1,IL10
IL10@Condition:Macrophage@GSE49240.MicroArray.GPL10558,IL10,-2.5362116649559487,IL10,GSE49240,MicroArray,GPL10558,NA,Macrophage,IL10,NA,activating,NA,1,IL10
IL10@Condition:Macrophage&Duration:12h@GSE57614.MicroArray.GPL6480,IL10,3.5493920354242414,IL10,GSE57614,MicroArray,GPL6480,NA,Macrophage,IL10,NA,activating,12h,1,IL10
IL10@Condition:Macrophage&Duration:24 h@GSE85346.MicroArray.GPL13497,IL10,-1.6734940105783644,IL10,GSE85346,MicroArray,GPL13497,NA,Macrophage,IL10,NA,activating,24 h,1,IL10
IL10@Condition:Macrophage&Duration:24h@GSE47538.MicroArray.GPL13497,IL10,-2.1090503081535905,IL10,GSE47538,MicroArray,GPL13497,NA,Macrophage,IL10,NA,activating,24h,1,IL10
IL10@Condition:Macrophage&Duration:24h@GSE57614.MicroArray.GPL6480,IL10,2.854439425495067,IL10,GSE57614,MicroArray,GPL6480,NA,Macrophage,IL10,NA,activating,24h,1,IL10
IL10@Condition:Macrophage&Duration:6h@GSE57614.MicroArray.GPL6480,IL10,0.998801226064745,IL10,GSE57614,MicroArray,GPL6480,NA,Macrophage,IL10,NA,activating,6h,1,IL10
IL10@Condition:MCSF Macrophage&Duration:2d@GSE61298.MicroArray.PrimeView,IL10,0.5604891968700909,IL10,GSE61298,MicroArray,PrimeView,NA,MCSF Macrophage,IL10,NA,activating,2d,1,IL10
IL10@Condition:Monocyte&Duration:3h@GSE82166.MicroArray.HuGene-1_0-st-v1,IL10,1.3311746117225687,IL10,GSE82166,MicroArray,HuGene-1_0-st-v1,NA,Monocyte,IL10,NA,activating,3h,1,IL10
IL10@Condition:Monocytes&Duration:1h@GSE35683.MicroArray.HG-U133_Plus_2,IL10,4.669177695125503,IL10,GSE35683,MicroArray,HG-U133_Plus_2,NA,Monocytes,IL10,NA,activating,1h,1,IL10
IL10@Condition:PBMC+MEC=1:1@GSE17493.MicroArray.GPL6480,IL10,-1.080791851151227,IL10,GSE17493,MicroArray,GPL6480,NA,PBMC+MEC=1:1,IL10,NA,activating,NA,1,IL10
IL10@Condition:PBMC+MEC=10:1@GSE17493.MicroArray.GPL6480,IL10,-1.5373374640815016,IL10,GSE17493,MicroArray,GPL6480,NA,PBMC+MEC=10:1,IL10,NA,activating,NA,1,IL10
IL10@Condition:Polymorphonuclear cells&Duration:1h@GSE35683.MicroArray.HG-U133_Plus_2,IL10,1.627365647101077,IL10,GSE35683,MicroArray,HG-U133_Plus_2,NA,Polymorphonuclear cells,IL10,NA,activating,1h,1,IL10
IL10@Condition:T CD8@GSE79127.MicroArray.HG-U133A_2,IL10,5.0996556142104925,IL10,GSE79127,MicroArray,HG-U133A_2,NA,T CD8,IL10,NA,activating,NA,1,IL10
IL11@Condition:Cardiac fibroblasts&Duration:24h@GSE96975.RNASeq.SRP102374_GRCh38,IL11,-1.9013255604204344,IL11,GSE96975,RNASeq,SRP102374_GRCh38,NA,Cardiac fibroblasts,IL11,NA,activating,24h,1,IL11
IL11@Condition:hESC line H1@GSE51159.MicroArray.GPL6883,IL11,0.8910554114775966,IL11,GSE51159,MicroArray,GPL6883,NA,hESC line H1,IL11,NA,activating,NA,1,IL11
IL12@Condition:activated naive CD4 T cells@GSE78276.RNASeq.SRP070776_GRCh38,IL12A,1.2139331373059667,IL12A,GSE78276,RNASeq,SRP070776_GRCh38,NA,activated naive CD4 T cells,IL12A,NA,activating,NA,1,IL12
IL12@Condition:CD4+ T cell&Duration:48h@GSE20198.MicroArray.HG-U133A,IL12A,1.8143603399803323,IL12A,GSE20198,MicroArray,HG-U133A,NA,CD4+ T cell,IL12A,NA,activating,48h,1,IL12
IL12@Condition:CD4+ Th cell&Duration:12h@GSE32959.MicroArray.HG-U133_Plus_2,IL12A,1.6265251587738192,IL12A,GSE32959,MicroArray,HG-U133_Plus_2,NA,CD4+ Th cell,IL12A,NA,activating,12h,1,IL12
IL12@Condition:CD4+ Th cell&Duration:24h@GSE32959.MicroArray.HG-U133_Plus_2,IL12A,2.1872835181108017,IL12A,GSE32959,MicroArray,HG-U133_Plus_2,NA,CD4+ Th cell,IL12A,NA,activating,24h,1,IL12
IL12@Condition:CD4+ Th cell&Duration:48h@GSE32959.MicroArray.HG-U133_Plus_2,IL12A,2.3595263445691685,IL12A,GSE32959,MicroArray,HG-U133_Plus_2,NA,CD4+ Th cell,IL12A,NA,activating,48h,1,IL12
IL12@Condition:CD4+ Th cell&Duration:72h@GSE32959.MicroArray.HG-U133_Plus_2,IL12A,1.8932521865482566,IL12A,GSE32959,MicroArray,HG-U133_Plus_2,NA,CD4+ Th cell,IL12A,NA,activating,72h,1,IL12
IL13@Condition:Airway Epithelia&Duration:48h@GSE116927.RNASeq.SRP153060_GRCh38,IL13,3.6180303298257863,IL13,GSE116927,RNASeq,SRP153060_GRCh38,NA,Airway Epithelia,IL13,NA,activating,48h,1,IL13
IL13@Condition:AT CC16Lu&Duration:24 h@GSE43515.MicroArray.HG-U133A_2,IL13,-0.9522880637345,IL13,GSE43515,MicroArray,HG-U133A_2,NA,AT CC16Lu,IL13,NA,activating,24 h,1,IL13
IL13@Condition:AT CC16Lu&Duration:4 h@GSE43515.MicroArray.HG-U133A_2,IL13,-0.31132011421315275,IL13,GSE43515,MicroArray,HG-U133A_2,NA,AT CC16Lu,IL13,NA,activating,4 h,1,IL13
IL13@Condition:AT CC16Lu&Duration:48 h@GSE43515.MicroArray.HG-U133A_2,IL13,0.8907714052980734,IL13,GSE43515,MicroArray,HG-U133A_2,NA,AT CC16Lu,IL13,NA,activating,48 h,1,IL13
IL13@Condition:Blood (PBMC)&Duration:24h@GSE79027.RNASeq.SRP071332_GRCh38,IL13,4.038845239892518,IL13,GSE79027,RNASeq,SRP071332_GRCh38,NA,Blood (PBMC),IL13,NA,activating,24h,1,IL13
IL13@Condition:Epithelial&Duration:21d@GSE37693.MicroArray.GPL6947,IL13,NA,IL13,GSE37693,MicroArray,GPL6947,NA,Epithelial,IL13,NA,activating,21d,1,IL13
IL13@Condition:Fibroblast.IMR-90@GSE47527.MicroArray.GPL6480,IL13,NA,IL13,GSE47527,MicroArray,GPL6480,NA,Fibroblast.IMR-90,IL13,NA,activating,NA,1,IL13
IL13@Condition:Fibroblast.IMR90&Duration:24h@GSE47542.MicroArray.GPL6480,IL13,NA,IL13,GSE47542,MicroArray,GPL6480,NA,Fibroblast.IMR90,IL13,NA,activating,24h,1,IL13
IL13@Condition:HNEC@GSE19182.MicroArray.HuGene-1_0-st-v1,IL13,-0.13851532594052282,IL13,GSE19182,MicroArray,HuGene-1_0-st-v1,NA,HNEC,IL13,NA,activating,NA,1,IL13
IL13@Condition:Human bronchial cell line A549&Duration:24h@GSE3183.MicroArray.HG-U133A,IL13,-1.767618599077358,IL13,GSE3183,MicroArray,HG-U133A,NA,Human bronchial cell line A549,IL13,NA,activating,24h,1,IL13
